device_id,refresh_day,cat_art,cat_edu,cat_ent,cat_finance,cat_game,cat_gj,cat_other,cat_party,cat_sh,cat_sport,cat_tech,cat_war
5f28fb010fd3a014af6708d14b080de3bea6948e,30,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
C4M0217C04001466,30,,,,,,,,,,,,
f8f9d2e8f3e51897cc9d1f00026a37408798a49e,30,,,,,,,,,,,,
6a6c1455d7553ae91ba8b696853049e62c6bfdb9,30,,,,,,,,,,,,
26976e478ed7fb8c09826fbad80ab0178d92dad3,30,,,,,,,,,,,,
763bfa2d99a66c4ffd0e9baf8457d4f700b797c3,30,,,,,,,,,,,,
0d7feb9069b3286ab624b702682fd53f0eede674,30,,,,,,,,,,,,
2907ed3996562cfa9bbb29d4c6d8f994a4725e0d,30,,,,,,,,,,,,
d17ef258fbe12890424e9fd16ef8b48f15b566e2,30,,,,,,,,,,,,
5JPDU17715010667,30,,,,,,,,,,,,
5b190da76fd21b21c794827867dd44d1356df252,30,,,,,,,,,,,,
90ec0378586cc34d7ca06aeef113f0a74e756a9e,30,,,,,,,,,,,,
EJL4C17508053196,30,,,,,,,,,,,,
5bb9fe88,30,,,,,,,,,,,,
988919394d3648535a,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8a984f16ad2202b0f0db32fd627c7c8751a640e4,30,,,,,,,,,,,,
6c2453dd5e4c822c6635c255d36e5e5a8dd383b8,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
f5ca186a7712ef1b3ed7708d562c66fc2d14ae47,30,,,,,,,,,,,,
TEV7N16C29001759,30,,,,,,,,,,,,
26c9d2a0305059442d51dbc8bceb4bfaa236e260,30,,,,,,,,,,,,
52f8363262127b79204fe44c9db0b5e9cbbe26e9,30,,,,,,,,,,,,
4YY4C17518006350,30,,,,,,,,,,,,
820e9ac5e9df7f1e538213c91d6ec05468efc85d,30,,,,,,,,,,,,
ee629227,30,,,,,,,,,,,,
0d526bba93d4ab014ad312c18c2b9caa8c5a9b63,30,,,,,,,,,,,,
3323f215,30,,,,,,,,,,,,
416c2bbc,30,,,,,,,,,,,,
0a25c09e5527be9277403f01e09260d16e5c7219,30,,,,,,,,,,,,
640c564393f43e437fea627521b6495b438ecd3a,30,,,,,,,,,,,,
WJX5T17707001562,30,,,,,,,,,,,,
ea7048686195c585bf62945b6bcb35043e8c1de3,30,,,,,,,,,,,,
8f4ad9e3f914fc59e0898de82711b227d270ff0c,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1b8ac9c14dc01d44bf29271b5f376c523475629e,30,,,,,,,,,,,,
4febbaf4,30,,,,,,,,,,,,
cb863226cf907cac2de975f5f6d2aa37c57141b5,30,,,,,,,,,,,,
5226c3da9b6d822b0a8a5854259f1110cb9a2fe3,30,,,,,,,,,,,,
c3f6792abbf454d24794a1ba2d8465d2e3a5fa94,30,,,,,,,,,,,,
74ea3ca90d00017dc343b7b8f4ec0c39c09ed54e,30,,,,,,,,,,,,
1fe600320604,30,,,,,,,,,,,,
55a6f2662cea7e4d660383ef341a4e725bfd84b4,30,,,,,,,,,,,,
26671b183c4765dd16f7837285e886d9c1bb1c7e,30,,,,,,,,,,,,
C1NGA2E7A1813546,30,,,,,,,,,,,,
5777c086b2ce681db91208a018d2532ebd687cdb,30,,,,,,,,,,,,
cdeda9cf28a74134ebce4eff33d61b833ba32d34,30,,,,,,,,,,,,
a643ae6406296c8d033e38063b4a9fba874ebed8,30,,,,,,,,,,,,
1693a2f5615685275c96764e22686013960b383b,30,,,,,,,,,,,,
16f005d1a6918e7733f0ec87e91ea089cab38b03,30,,,,,,,,,,,,
a5f32f0c8176ff4d0301f42df1c3c9344df4f639,30,,,,,,,,,,,,
TEV0217224004084,30,,,,,,,,,,,,
c829caa581aa8a6595dc3fa02742dfaab6ce4b7d,30,,,,,,,,,,,,
9a14460c7c35f81385a14de6c3020e8a07b4b071,30,,,,,,,,,,,,
f7d55f800d153b9d7f3a3023b91a6efbbfce194a,30,,,,,,,,,,,,
25f1d178b4ad48f8a4a75d4874e3aab939d6b259,30,,,,,,,,,,,,
36531110,30,,,,,,,,,,,,
2cd28e96573b8d0df60f7bb5e31bdb6058ea2b6c,30,,,,,,,,,,,,
decfd1b6d9b9db8917232e0e7ec9eaf77dde2c40,30,,,,,,,,,,,,
8d1a1ee23f5b456148e5d1eb23d414ca7cd83bcb,30,,,,,,,,,,,,
9406cf7f136861128a619fc29816d38819ce2d29,30,,,,,,,,,,,,
604699e620916ae1fc6504d09e4d80a38a5530d4,30,,,,,,,,,,,,
SJE7N17817002608,30,,,,,,,,,,,,
fdaf7b4036b21f465ac527bdcaa662b601eff584,30,,,,,,,,,,,,
12a08d606897b047d52b93b9e4abf31f0cf40520,30,,,,,,,,,,,,
fb5647238c303fa70da1a588e92b35827b2d843b,30,,,,,,,,,,,,
